GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""09000""",Connecticut,1,CAGDP9,35,44-45,  Retail trade,Thousands of chained 2012 dollars,13007940,13412160,13942442,13861909,13960173,13355849,12900657,12419043,11989979,12015418,12153193,12487155,12554563,12663820,12826018,12919928,13071056,13562345,13680793,12808204
" ""09000""",Connecticut,1,CAGDP9,36,48-49,  Transportation and warehousing,Thousands of chained 2012 dollars,3399639,3306592,3484944,3705234,3887064,4025176,4540725,4339284,4093299,3835245,3867295,3898296,3908408,4206597,5055097,4806911,4705176,4568318,4623824,4336224
" ""09000""",Connecticut,1,CAGDP9,45,51,  Information,Thousands of chained 2012 dollars,5838855,6106210,6428537,7095833,8015191,8569168,9896790,10587391,10362666,10498386,10479412,10119011,11773058,11816338,14002452,15196100,15447840,16498271,18091934,17435817
" ""09000""",Connecticut,1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing",Thousands of chained 2012 dollars,60639737,56185985,55143590,60346041,61426498,62908515,67902038,66853953,74403393,72695665,67972905,66973444,61145548,61063362,64549709,67036381,70426692,69223820,68248970,65432249
" ""09000""",Connecticut,1,CAGDP9,51,52,   Finance and insurance,Thousands of chained 2012 dollars,32935480,29414873,29320949,33306663,33701363,36504802,39390786,32229915,39546165,36559125,32694291,33721741,29015276,29022660,33254895,35293706,38904721,35859780,34528952,33334705
" ""09000""",Connecticut,1,CAGDP9,56,53,   Real estate and rental and leasing,Thousands of chained 2012 dollars,27775978,26796649,25860895,27090519,27777459,26447958,28559305,34615551,35045167,36171187,35263614,33251702,32151409,32061516,31153414,31552341,31223934,33243049,33667705,32028845
" ""09000""",Connecticut,1,CAGDP9,59,"54, 55, 56",  Professional and business services,Thousands of chained 2012 dollars,26885935,25963430,26676017,26334450,26501844,26831404,28116502,29016578,26348032,26616097,27014919,28776540,28725645,30319489,30745411,30976115,31099491,31740860,32324899,30533727
" ""09000""",Connecticut,1,CAGDP9,60,54,"   Professional, scientific, and technical services",Thousands of chained 2012 dollars,15347617,15169420,15188942,15158449,15035532,15037614,15554062,16837657,15502359,15453437,15674108,15956101,15779456,16735985,17108192,17489461,17706788,18088047,18413642,17409455
" ""09000""",Connecticut,1,CAGDP9,64,55,   Management of companies and enterprises,Thousands of chained 2012 dollars,6991842,6178771,6695946,6054482,5842377,5969663,6119422,5671298,5389320,5386150,5509430,6436098,6597455,7017841,7031514,7110892,6715706,6985255,7325165,6907141
" ""09000""",Connecticut,1,CAGDP9,65,56,   Administrative and support and waste management and remediation services,Thousands of chained 2012 dollars,4814127,4723838,4981229,5185788,5638951,5842914,6451663,6503198,5459736,5777035,5831829,6384341,6349192,6568726,6607415,6390554,6656048,6664076,6616166,6244515
" ""09000""",Connecticut,1,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance",Thousands of chained 2012 dollars,19105494,19681918,20248726,20908525,21020782,21665290,21874858,23436985,24086963,24283644,24404760,24892531,24851417,25166764,25097051,25304152,25349185,25859035,26498761,24967394
" ""09000""",Connecticut,1,CAGDP9,69,61,   Educational services,Thousands of chained 2012 dollars,3913437,3952924,4185426,4376548,4208337,4320468,4440223,4790012,5234219,5367764,5350805,5398069,5335162,5427615,5375118,5442986,5365824,5450201,5684230,5254407
" ""09000""",Connecticut,1,CAGDP9,70,62,   Health care and social assistance,Thousands of chained 2012 dollars,15184552,15710652,16059093,16533477,16797228,17328035,17421901,18634817,18851313,18917338,19054414,19494461,19516803,19738963,19723401,19861444,19988706,20415889,20814328,19720762
" ""09000""",Connecticut,1,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services",Thousands of chained 2012 dollars,6985516,7216418,7357600,7483887,7397308,7381778,7010461,7037626,7051961,7263875,7513431,7915385,7649527,7267886,7468902,7659102,7776713,7695990,7990127,5523830
" ""09000""",Connecticut,1,CAGDP9,76,71,"   Arts, entertainment, and recreation",Thousands of chained 2012 dollars,2165583,2220219,2368379,2454303,2442645,2407404,2226676,2220599,2315741,2281585,2346464,2574065,2435946,2420412,2203436,2229074,2142326,2179080,2174201,1361531
" ""09000""",Connecticut,1,CAGDP9,79,72,   Accommodation and food services,Thousands of chained 2012 dollars,4823580,5000855,4987980,5025086,4948930,4971027,4785138,4819303,4735271,4982868,5167765,5341321,5213224,4848829,5260288,5423748,5622831,5508762,5801678,4142238
" ""09000""",Connecticut,1,CAGDP9,82,81,  Other services (except government and government enterprises),Thousands of chained 2012 dollars,5459222,5597983,5402623,5463388,5617392,5616786,5443185,5000631,4700354,4543662,4443410,4500258,4412485,4499359,4462078,4359597,4301398,4458463,4411345,3697078
" ""09000""",Connecticut,1,CAGDP9,83,...,Government and government enterprises,Thousands of chained 2012 dollars,24367420,24813993,24669146,25024778,25800977,25683435,26073233,26461291,25523584,24942189,24783267,24247984,24197172,24082655,24366359,24317829,24379330,23632759,23049650,22510885
" ""09000""",Connecticut,1,CAGDP9,87,"11, 21",Natural resources and mining,Thousands of chained 2012 dollars,818089,799391,792243,744869,779161,797559,696830,627374,671975,670097,519164,569206,572679,557197,721780,780126,622677,594234,627108,647969
" ""09000""",Connecticut,1,CAGDP9,88,"42, 44-45",Trade,Thousands of chained 2012 dollars,25233753,25539390,26740528,27012197,28061641,28148234,28160605,28273516,26257458,27219133,27420031,28506974,28101093,27834101,28112091,27330360,26716702,26875417,26272430,25188418
" ""09000""",Connecticut,1,CAGDP9,89,"22, 48-49",Transportation and utilities,Thousands of chained 2012 dollars,6627636,6465250,6753428,7326961,7925630,8185978,8976086,9205782,8608754,8232135,8029645,8685327,8590430,8857450,9232119,8784169,8606454,8545413,8682225,8567997
" ""09000""",Connecticut,1,CAGDP9,90,"31-33, 51",Manufacturing and information,Thousands of chained 2012 dollars,33949817,36830884,37757229,43999918,45308461,52278109,54791412,53883569,40161327,41154654,39881160,39195708,41525327,40177271,41911875,40581351,41977826,45761829,48185971,43785348
" ""09000""",Connecticut,1,CAGDP9,91,...,Private goods-producing industries 2/,Thousands of chained 2012 dollars,38074629,40334130,40974661,47378285,47500477,54000071,54774528,51996334,37587006,38098353,36491553,36294467,36642999,34943075,34802339,32507000,33282187,35832290,36702943,32991811
" ""09000""",Connecticut,1,CAGDP9,92,...,Private services-providing industries 3/,Thousands of chained 2012 dollars,155743608,151698311,153673607,161229273,165427843,168887813,177346926,179422129,181797821,181324687,177269579,180369471,175207322,176753185,183555523,186514205,189757883,190622950,191862309,180456362
