GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""09001""","Fairfield, CT",1,CAGDP9,1,...,All industry total,Thousands of chained 2012 dollars,76534461,76660731,76222458,80391775,82967936,86202047,89983436,91868849,86819192,85095638,80039362,82579135,80027150,79634547,80577928,80077784,80739072,82176512,81895069,77114999
" ""09001""","Fairfield, CT",1,CAGDP9,2,..., Private industries,Thousands of chained 2012 dollars,71971800,71959710,71525668,75581053,78123336,81351219,85070922,86946809,82060220,80400005,75578359,78098676,75572617,75020322,75867848,75362182,75995261,77498527,77280033,72575482
" ""09001""","Fairfield, CT",1,CAGDP9,3,11,"  Agriculture, forestry, fishing and hunting",Thousands of chained 2012 dollars,65152,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),60785,59444,61648,28118,80163,52863,72581,48443
" ""09001""","Fairfield, CT",1,CAGDP9,6,21,"  Mining, quarrying, and oil and gas extraction",Thousands of chained 2012 dollars,13660,13721,19092,21240,12372,14559,12622,8564,6615,13705,13203,11158,12732,16169,19096,18820,15250,12222,12054,44137
" ""09001""","Fairfield, CT",1,CAGDP9,10,22,  Utilities,Thousands of chained 2012 dollars,658613,659212,740142,928046,1152589,1369009,1489440,2458696,1865321,1510431,962696,1621850,1365405,1634382,1161341,853341,499762,944788,1023667,1098857
" ""09001""","Fairfield, CT",1,CAGDP9,11,23,  Construction,Thousands of chained 2012 dollars,2930166,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1793659,1636832,1695950,1703518,1598995,1600233,1547474,1470532
" ""09001""","Fairfield, CT",1,CAGDP9,12,31-33,  Manufacturing,Thousands of chained 2012 dollars,9487083,11662584,11382776,14492612,14085109,16617260,18002390,20961627,13884208,13023075,12113861,11145643,10144767,9788825,8656050,7488556,6895866,6834944,6472372,5953864
" ""09001""","Fairfield, CT",1,CAGDP9,13,"321,327-339",   Durable goods manufacturing,Thousands of chained 2012 dollars,(D),3507371,3866020,3803786,3916972,4207285,4231020,4535379,4571483,5160806,5042783,5084197,4981860,4669330,4378335,3849108,3657502,4210822,4301991,3753354
" ""09001""","Fairfield, CT",1,CAGDP9,25,"311-316,322-326",   Nondurable goods manufacturing,Thousands of chained 2012 dollars,(D),8185267,7379794,10911151,10309668,12707807,14193248,17012731,9453118,7890036,7079524,6061446,5162825,5118121,4283531,3647258,3252972,2688364,2258036,2266501
" ""09001""","Fairfield, CT",1,CAGDP9,34,42,  Wholesale trade,Thousands of chained 2012 dollars,5351962,5146582,5246967,5252174,5457453,5492546,5357412,5539827,5104313,5436348,5427708,5640600,5894370,6208757,6799524,6768995,6534576,6345215,6010464,5922378
" ""09001""","Fairfield, CT",1,CAGDP9,35,44-45,  Retail trade,Thousands of chained 2012 dollars,4549309,4544054,4661594,4302529,4358828,3991104,3973865,3838371,3729544,3703192,4037249,4231766,4295735,4351826,4364702,4341014,4247623,4420010,4421883,4118057
" ""09001""","Fairfield, CT",1,CAGDP9,36,48-49,  Transportation and warehousing,Thousands of chained 2012 dollars,966408,902939,924114,967843,1068698,1104858,1805268,1594286,1460478,1089006,1006235,1256333,1100615,1391547,2227162,1966464,1805238,1397868,1107614,1010469
" ""09001""","Fairfield, CT",1,CAGDP9,45,51,  Information,Thousands of chained 2012 dollars,2326512,2391956,2399996,2523081,2818821,2966578,3754962,4102318,4172160,4286582,4287489,4057807,4848874,4782276,5782074,6357083,6799852,7639129,8672324,8544919
" ""09001""","Fairfield, CT",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing",Thousands of chained 2012 dollars,23486316,22323127,21707634,23023893,24810603,25237492,25807892,23567278,28712142,28076916,24300933,25318584,23553009,22543110,22339508,22764444,24501150,24203409,23616805,22805025
" ""09001""","Fairfield, CT",1,CAGDP9,51,52,   Finance and insurance,Thousands of chained 2012 dollars,14847580,13946532,13510446,13811934,15191821,16406147,16206267,11889141,16664439,16185931,12738003,14566383,13081069,11680719,12016031,12939707,14943011,13871641,13563193,13345141
" ""09001""","Fairfield, CT",1,CAGDP9,56,53,   Real estate and rental and leasing,Thousands of chained 2012 dollars,8612186,8337272,8154659,9134724,9547979,8785738,9552930,11600086,12129415,11957471,11539713,10752201,10483139,10950180,10355703,9770846,9362008,10296159,10013335,9371031
